province,source,desc,year,Hydro,Wind,Biomass_Geothermal,Solar,Uranium,Coal,natural_gas,oil
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2028,2416,11922.41,2646.78,1225.28,0,5294.08,74817.44,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2029,2862.87,12472,2646.78,1341.04,0,0,81615.02,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2030,3307.76,13597.43,2664.3,1459.89,0,0,81492.26,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2031,3325.63,14755.28,2664.29,1581.45,0,0,82208.4,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2032,3341.76,15944.34,2664.28,1705.71,0,0,83015.91,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2033,3356.31,16852.11,3102.28,1831.86,0,0,83184.05,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2034,3369.38,17449.36,3137.32,1958,0,0,83672.41,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2035,3381.07,18058.19,3137.32,2084.14,0,0,84297.55,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2036,3391.59,18678.34,3137.34,2210.29,0,0,84672.3,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2037,3401.13,19310.19,3137.34,2336.43,0,0,85130.95,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2038,3409.71,19954.21,3207.42,2462.58,0,0,85382.34,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2039,3417.42,20609.46,3207.41,2588.72,0,0,85853.03,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2040,3424.47,21276.34,3207.42,2714.86,0,0,85935.14,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2041,3430.66,21802.48,3204.65,2841.01,0,0,86185.98,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2042,3436.2,22338.85,3204.65,2967.15,0,0,86394.35,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2043,3436.25,22885.05,3204.65,3093.3,0,0,86768.46,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2044,3436.32,23353.84,3204.65,3219.44,0,0,87302.66,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2045,3436.3,23829.81,3204.65,3345.58,0,0,87213.89,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2046,3436.21,24312.87,3204.65,3471.73,0,0,87538.68,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2047,3436.28,24802.93,3204.65,3597.87,0,0,87714.35,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2048,3436.3,25299.66,3204.65,3724.02,0,0,88153.84,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2049,3436.14,25802.91,3204.65,3850.16,0,0,88337.7,107.28
Alberta,https://apps.cer-rec.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA,Electricity Generation - Primary Fuel (GWh),2050,3436.27,26311.89,3204.65,3976.3,0,0,88631.31,107.28
